video_time_s,csv_time_s,label,label_name,note
4.010,12.810,8,Schlaeger drehen,
6.110,14.910,8,Schlaeger drehen,
8.790,17.609,1,Vorhand,
12.656,21.475,2,Rueckhand,
24.256,33.075,1,Vorhand,
27.790,36.609,1,Vorhand,
30.890,39.709,2,Rueckhand,
34.255,43.074,1,Vorhand,
37.855,46.674,2,Rueckhand,
40.740,49.559,1,Vorhand,
45.641,54.460,7,Kein Schlag / Other,
55.574,64.393,1,Vorhand,
58.692,67.511,2,Rueckhand,
63.426,72.245,6,Aufschlag von unten,
66.792,75.611,1,Vorhand,
70.759,79.578,4,Slice Rueckhand,
84.726,93.545,6,Aufschlag von unten,
88.201,97.020,4,Slice Rueckhand,
92.301,101.120,8,Schlaeger drehen,
99.334,108.153,8,Schlaeger drehen,
100.601,109.420,8,Schlaeger drehen,
104.734,113.553,1,Vorhand,
108.701,117.520,3,Slice Vorhand,
111.601,120.420,8,Schlaeger drehen,
115.668,124.487,2,Rueckhand,
122.668,131.487,6,Aufschlag von unten,
126.201,135.020,2,Rueckhand,
129.801,138.620,4,Slice Rueckhand,
135.301,144.120,1,Vorhand,
138.501,147.320,1,Vorhand,
141.801,150.620,1,Vorhand,
144.801,153.620,1,Vorhand,
148.068,156.887,4,Slice Rueckhand,
153.001,161.820,2,Rueckhand,
158.734,167.553,6,Aufschlag von unten,
162.034,170.853,3,Slice Vorhand,
190.134,198.953,1,Vorhand,
196.268,205.087,1,Vorhand,
198.568,207.387,8,Schlaeger drehen,
200.668,209.487,2,Rueckhand,
218.568,227.387,6,Aufschlag von unten,
222.238,231.057,10,Unsicher,
225.568,234.387,6,Aufschlag von unten,
229.171,237.990,2,Rueckhand,
232.605,241.424,3,Slice Vorhand,
235.438,244.257,4,Slice Rueckhand,
248.905,257.724,8,Schlaeger drehen,
252.805,261.624,1,Vorhand,
255.971,264.790,2,Rueckhand,
259.338,268.157,1,Vorhand,
262.038,270.857,8,Schlaeger drehen,
264.605,273.424,8,Schlaeger drehen,
269.705,278.524,1,Vorhand,
312.605,321.424,6,Aufschlag von unten,
315.571,324.390,8,Schlaeger drehen,
318.405,327.224,1,Vorhand,
321.605,330.424,1,Vorhand,
331.271,340.090,1,Vorhand,
