video_time_s,csv_time_s,label,label_name,note
27.872,41.986,1,Vorhand,
30.533,44.647,6,Aufschlag von unten,
35.600,49.714,6,Aufschlag von unten,
50.000,64.114,1,Vorhand,
58.400,72.514,4,Slice Rueckhand,
67.366,81.480,8,Schlaeger drehen,
72.233,86.347,9,Schwung ohne Ball,
74.500,88.614,8,Schlaeger drehen,
82.333,96.447,8,Schlaeger drehen,
86.466,100.580,1,Vorhand,
90.900,105.014,1,Vorhand,
94.000,108.114,10,Unsicher,
98.633,112.747,8,Schlaeger drehen,
100.333,114.447,8,Schlaeger drehen,
104.233,118.347,1,Vorhand,
108.666,122.780,1,Vorhand,
112.033,126.147,10,Unsicher,
114.499,128.613,10,Unsicher,
154.499,168.613,10,Unsicher,
156.466,170.580,8,Schlaeger drehen,
158.863,172.977,10,Unsicher,
160.830,174.944,8,Schlaeger drehen,
166.063,180.177,2,Rueckhand,
169.496,183.610,10,Unsicher,
187.096,201.210,9,Schwung ohne Ball,
191.330,205.444,8,Schlaeger drehen,
192.696,206.810,8,Schlaeger drehen,
196.696,210.810,1,Vorhand,
202.663,216.777,1,Vorhand,
205.896,220.010,2,Rueckhand,
208.696,222.810,8,Schlaeger drehen,
215.730,229.844,8,Schlaeger drehen,
217.430,231.544,8,Schlaeger drehen,
220.096,234.210,1,Vorhand,
225.296,239.410,1,Vorhand,
229.930,244.044,8,Schlaeger drehen,
233.563,247.677,1,Vorhand,
239.763,253.877,10,Unsicher,
246.330,260.444,6,Aufschlag von unten,
277.330,291.444,3,Slice Vorhand,
281.696,295.810,10,Unsicher,
286.663,300.777,10,Unsicher,
291.996,306.110,9,Schwung ohne Ball,
325.963,340.077,6,Aufschlag von unten,
335.463,349.577,1,Vorhand,
356.429,370.543,10,Unsicher,
359.563,373.677,8,Schlaeger drehen,
367.863,381.977,10,Unsicher,
373.296,387.410,10,Unsicher,
384.229,398.343,2,Rueckhand,
394.029,408.143,2,Rueckhand,
400.463,414.577,2,Rueckhand,
437.396,451.510,6,Aufschlag von unten,
448.963,463.077,6,Aufschlag von unten,
451.863,465.977,4,Slice Rueckhand,
452.929,467.043,8,Schlaeger drehen,
490.963,505.077,6,Aufschlag von unten,
