video_time_s,csv_time_s,label,label_name,note
57.724,35.700,9,Schwung ohne Ball,
62.942,40.918,8,Schlaeger drehen,
64.185,42.161,8,Schlaeger drehen,
65.185,43.161,8,Schlaeger drehen,
69.847,47.823,1,Vorhand,
73.049,51.025,3,Slice Vorhand,
77.521,55.497,1,Vorhand,
81.070,59.046,1,Vorhand,
87.946,65.922,1,Vorhand,
91.764,69.740,7,Kein Schlag / Other,
96.308,74.284,8,Schlaeger drehen,
98.436,76.412,8,Schlaeger drehen,
103.811,81.787,1,Vorhand,
107.411,85.387,1,Vorhand,
110.277,88.253,8,Schlaeger drehen,
117.280,95.256,1,Vorhand,
120.462,98.438,1,Vorhand,
136.876,114.852,8,Schlaeger drehen,
145.185,123.161,8,Schlaeger drehen,
148.977,126.953,1,Vorhand,
160.321,138.297,1,Vorhand,
163.726,141.702,10,Unsicher,
169.285,147.261,10,Unsicher,
175.808,153.784,8,Schlaeger drehen,
176.873,154.849,8,Schlaeger drehen,
177.553,155.529,8,Schlaeger drehen,
179.252,157.228,8,Schlaeger drehen,
183.600,161.576,1,Vorhand,
192.795,170.771,1,Vorhand,
195.825,173.801,3,Slice Vorhand,
200.112,178.088,1,Vorhand,
203.868,181.844,1,Vorhand,
204.330,182.306,7,Kein Schlag / Other,
207.410,185.382,3,Slice Vorhand,
230.805,208.777,7,Kein Schlag / Other,
545.400,523.372,7,Kein Schlag / Other,
557.933,535.905,2,Rueckhand,
561.804,539.776,8,Schlaeger drehen,
566.058,544.030,8,Schlaeger drehen,
576.587,554.559,2,Rueckhand,
579.744,557.716,10,Unsicher,
580.379,558.351,7,Kein Schlag / Other,
593.727,571.699,8,Schlaeger drehen,
597.789,575.761,1,Vorhand,
601.575,579.547,2,Rueckhand,
608.899,586.871,8,Schlaeger drehen,
610.116,588.088,8,Schlaeger drehen,
616.356,594.328,1,Vorhand,
619.962,597.934,1,Vorhand,
623.098,601.070,7,Kein Schlag / Other,
637.961,615.933,2,Rueckhand,
642.857,620.829,4,Slice Rueckhand,
652.084,630.056,8,Schlaeger drehen,
655.966,633.938,8,Schlaeger drehen,
661.025,638.997,1,Vorhand,
664.618,642.590,2,Rueckhand,
668.328,646.300,3,Slice Vorhand,
945.981,923.953,9,Schwung ohne Ball,
