video_time_s,csv_time_s,label,label_name,note
14.053,10.144,1,Vorhand,
29.345,25.436,1,Vorhand,
38.996,35.087,9,Schwung ohne Ball,
51.739,47.830,9,Schwung ohne Ball,
53.996,50.087,9,Schwung ohne Ball,
62.760,58.851,9,Schwung ohne Ball,
93.093,89.184,8,Schlaeger drehen,
102.663,98.754,6,Aufschlag von unten,
107.297,103.388,10,Unsicher,
111.689,107.780,10,Unsicher,
116.364,112.455,1,Vorhand,
121.088,117.179,7,Kein Schlag / Other,
124.453,120.544,2,Rueckhand,
130.286,126.377,9,Schwung ohne Ball,
